study_id,family,parameter,unit,value_lo,value_hi,value_code,n_values
cov5,FTIR,ftir_modality,,,,ATR-FTIR,
cov139,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov181,FTIR,ftir_modality,,,,ATR-FTIR,
cov213,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov270,FTIR,ftir_modality,,,,ATR-FTIR,
cov302,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov308,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov355,FTIR,ftir_modality,,,,ATR-FTIR,
cov365,FTIR,ftir_modality,,,,ATR-FTIR,
cov457,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov534,FTIR,ftir_modality,,,,ATR-FTIR,
cov547,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov602,FTIR,ftir_modality,,,,ATR-FTIR,
cov615,FTIR,ftir_modality,,,,ATR-FTIR,
cov629,FTIR,ftir_modality,,,,ATR-FTIR,
cov643,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov657,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov666,FTIR,ftir_modality,,,,ATR-FTIR,
cov693,FTIR,ftir_modality,,,,ATR-FTIR,
cov794,FTIR,ftir_modality,,,,ATR-FTIR,
cov827,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov864,FTIR,ftir_modality,,,,ATR-FTIR,
cov896,FTIR,ftir_modality,,,,FTIR imaging,
cov989,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov994,FTIR,ftir_modality,,,,ATR-FTIR,
cov1000,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov1020,FTIR,ftir_modality,,,,ATR-FTIR,
cov1022,FTIR,ftir_modality,,,,FTIR imaging,
cov1082,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov1108,FTIR,ftir_modality,,,,ATR-FTIR,
cov1133,FTIR,ftir_modality,,,,ATR-FTIR,
cov1140,FTIR,ftir_modality,,,,ATR-FTIR,
cov1142,FTIR,ftir_modality,,,,ATR-FTIR,
cov1151,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1185,FTIR,ftir_modality,,,,ATR-FTIR,
cov1186,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov1263,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1298,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov1314,FTIR,ftir_modality,,,,ATR-FTIR,
cov1315,FTIR,ftir_modality,,,,ATR-FTIR,
cov1346,FTIR,ftir_modality,,,,FTIR imaging,
cov1376,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1384,FTIR,ftir_modality,,,,ATR-FTIR,
cov1387,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1410,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1429,FTIR,ftir_modality,,,,ATR-FTIR,
cov1484,FTIR,ftir_modality,,,,FTIR imaging,
cov1515,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov1525,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1588,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1610,FTIR,ftir_modality,,,,ATR-FTIR,
cov1666,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1700,FTIR,ftir_modality,,,,ATR-FTIR,
cov1702,FTIR,ftir_modality,,,,ATR-FTIR,
cov1978,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov1854,FTIR,ftir_modality,,,,FTIR imaging,
cov2162,FTIR,ftir_modality,,,,ATR-FTIR,
cov2173,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov2176,FTIR,ftir_modality,,,,ATR-FTIR,
cov2200,FTIR,ftir_modality,,,,FTIR imaging,
cov2233,FTIR,ftir_modality,,,,ATR-FTIR,
cov2265,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov2295,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov2333,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov2339,FTIR,ftir_modality,,,,ATR-FTIR,
cov2341,FTIR,ftir_modality,,,,FTIR imaging,
cov2363,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov2368,FTIR,ftir_modality,,,,FTIR imaging,
cov2416,FTIR,ftir_modality,,,,µ-FTIR transmission,
cov2418,FTIR,ftir_modality,,,,µ-FTIR reflectance,
cov2487,FTIR,ftir_modality,,,,ATR-FTIR,
cov2568,FTIR,ftir_modality,,,,ATR-FTIR,
cov2609,FTIR,ftir_modality,,,,ATR-FTIR,
cov2706,FTIR,ftir_modality,,,,ATR-FTIR,
