run_id,study_id,result_type,code,lo,hi,unit,kind,basis,role,status,attribution
cov3-PYGCMS,cov3,polymer,PE,,,,,,field_detection,unverified,direct
cov3-PYGCMS,cov3,polymer,PET,,,,,,field_detection,unverified,direct
cov3-PYGCMS,cov3,polymer,PVC,,,,,,field_detection,unverified,direct
cov3-PYGCMS,cov3,polymer,PA,,,,,,field_detection,unverified,direct
cov3-PYGCMS,cov3,polymer,PA66,,,,,,field_detection,unverified,direct
cov3-PYGCMS,cov3,polymer,PE,,,,,,recovery_spike,known_material,direct
cov5-ATR_FTIR,cov5,polymer,PE,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PE,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PP,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PP,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PET,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PET,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PS,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PS,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PVC,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PVC,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PA,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PA,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PU,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PU,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PC,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PC,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PMMA,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PMMA,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PA66,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PA66,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,PA6,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,PA6,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,SBR,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,SBR,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,ABS,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,ABS,,,,,,reported,unverified,shared
cov5-ATR_FTIR,cov5,polymer,RAYON,,,,,,reported,unverified,shared
cov5-PYGCMS,cov5,polymer,RAYON,,,,,,reported,unverified,shared
cov8-LDIR,cov8,polymer,PE,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PE,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PP,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PP,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PET,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PET,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PVC,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PVC,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PA,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PA,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PU,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PU,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PMMA,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PMMA,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,ACR,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,ACR,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PE-CL,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PE-CL,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,EVA,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,EVA,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PB,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PB,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,EAA,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,EAA,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,FKM,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,FKM,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,MBS,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,MBS,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PIB,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PIB,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,POM,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,POM,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PA66,,,,,,field_detection,unverified,shared
cov8-PYGCMS,cov8,polymer,PA66,,,,,,field_detection,unverified,shared
cov8-LDIR,cov8,polymer,PE,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PE,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PA66,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PA66,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PVC,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PVC,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PS,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PS,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PET,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PET,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PMMA,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PMMA,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PC,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PC,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PA6,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PA6,,,,,,recovery_spike,known_material,shared
cov8-LDIR,cov8,polymer,PP,,,,,,recovery_spike,known_material,shared
cov8-PYGCMS,cov8,polymer,PP,,,,,,recovery_spike,known_material,shared
cov11-RAMAN,cov11,polymer,PE,,,,,,reported,unverified,direct
cov11-RAMAN,cov11,polymer,PP,,,,,,reported,unverified,direct
cov11-RAMAN,cov11,polymer,PET,,,,,,reported,unverified,direct
cov11-RAMAN,cov11,polymer,PS,,,,,,reported,unverified,direct
cov11-RAMAN,cov11,polymer,PVC,,,,,,reported,unverified,direct
cov11-RAMAN,cov11,polymer,PA,,,,,,reported,unverified,direct
cov11-RAMAN,cov11,polymer,PMMA,,,,,,reported,unverified,direct
cov11-RAMAN,cov11,polymer,CELL,,,,,,reported,unverified,direct
cov32-RAMAN,cov32,polymer,PE,,,,,,field_detection,unverified,direct
cov32-RAMAN,cov32,polymer,PP,,,,,,field_detection,unverified,direct
cov32-RAMAN,cov32,polymer,PET,,,,,,field_detection,unverified,direct
cov32-RAMAN,cov32,polymer,PS,,,,,,field_detection,unverified,direct
cov32-RAMAN,cov32,polymer,PVC,,,,,,field_detection,unverified,direct
cov32-RAMAN,cov32,polymer,PC,,,,,,field_detection,unverified,direct
cov32-RAMAN,cov32,polymer,POM,,,,,,field_detection,unverified,direct
cov32-RAMAN,cov32,polymer,ACR,,,,,,field_detection,unverified,direct
cov46-PYGCMS,cov46,polymer,PS,,,,,,reported,unverified,direct
cov46-PYGCMS,cov46,polymer,PS,,,,,,recovery_spike,known_material,direct
cov57-RAMAN,cov57,polymer,PE-HD,,,,,,exposure_material,confirmed,direct
cov57-RAMAN,cov57,polymer,PC,,,,,,exposure_material,confirmed,direct
cov74-PYGCMS,cov74,polymer,PE,,,,,,field_detection,unverified,direct
cov74-PYGCMS,cov74,polymer,PP,,,,,,field_detection,unverified,direct
cov74-PYGCMS,cov74,polymer,PS,,,,,,field_detection,unverified,direct
cov74-PYGCMS,cov74,polymer,PVC,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PE,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PP,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PS,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PVC,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PA,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PU,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PC,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PMMA,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,EVA,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PEST,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PSU,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PVME,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,PVP,,,,,,field_detection,unverified,direct
cov81-RAMAN,cov81,polymer,EPM,,,,,,field_detection,unverified,direct
cov98-PYGCMS,cov98,polymer,PS,,,,,,exposure_material,proxy_tracked,direct
cov111-RAMAN,cov111,polymer,PE,,,,,,field_detection,unverified,shared
cov111-PYGCMS,cov111,polymer,PE,,,,,,field_detection,unverified,shared
cov111-RAMAN,cov111,polymer,PS,,,,,,field_detection,unverified,shared
cov111-PYGCMS,cov111,polymer,PS,,,,,,field_detection,unverified,shared
cov111-RAMAN,cov111,polymer,PVC,,,,,,field_detection,unverified,shared
cov111-PYGCMS,cov111,polymer,PVC,,,,,,field_detection,unverified,shared
cov111-RAMAN,cov111,polymer,PC,,,,,,field_detection,unverified,shared
cov111-PYGCMS,cov111,polymer,PC,,,,,,field_detection,unverified,shared
cov111-RAMAN,cov111,polymer,ABS,,,,,,field_detection,unverified,shared
cov111-PYGCMS,cov111,polymer,ABS,,,,,,field_detection,unverified,shared
cov111-RAMAN,cov111,polymer,PTFE,,,,,,field_detection,unverified,shared
cov111-PYGCMS,cov111,polymer,PTFE,,,,,,field_detection,unverified,shared
cov139-UFTIR,cov139,polymer,PE,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,PP,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,PET,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,PS,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,PA,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,PU,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,ABS,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,ACR,,,,,,field_detection,unverified,direct
cov139-UFTIR,cov139,polymer,PA,,,,,,recovery_spike,known_material,direct
cov139-UFTIR,cov139,polymer,PS-E,,,,,,recovery_spike,known_material,direct
