study_id,facet,code,character,finder_group,review_status
cov3,organism,HUMAN,,Human,draft
cov3,sample_type,CARDIOVASCULAR,PROTEIN,,draft
cov5,organism,HUMAN,,Human,draft
cov5,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov8,organism,HUMAN,,Human,draft
cov8,sample_type,CARDIOVASCULAR,PROTEIN,,draft
cov11,organism,HUMAN,,Human,draft
cov11,sample_type,ORGAN,PROTEIN,,draft
cov11,sample_type,BODY_FLUID,AQUEOUS,,draft
cov11,environment_sample,AIR,,,draft
cov32,organism,HUMAN,,Human,draft
cov32,sample_type,BODY_FLUID,AQUEOUS,,draft
cov42,organism,MAMMAL,,Mammal (non-human),draft
cov42,sample_type,GI_CONTENTS,GUT,,draft
cov42,sample_type,GI_TRACT,GUT,,draft
cov42,sample_type,ORGAN,PROTEIN,,draft
cov42,sample_type,BLOOD,BLOOD,,draft
cov42,sample_type,BODY_FLUID,AQUEOUS,,draft
cov42,sample_type,FECES,FECAL,,draft
cov46,organism,CRUSTACEAN,,Crustacean,reviewed
cov46,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov57,organism,FISH,,Fish,draft
cov57,sample_type,GI_TRACT,GUT,,draft
cov57,sample_type,GILL,PROTEIN,,draft
cov74,organism,HUMAN,,Human,draft
cov74,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov81,organism,HUMAN,,Human,draft
cov81,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov82,organism,MAMMAL,,Mammal (non-human),draft
cov82,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov98,organism,PLANT,,Plant or alga,draft
cov98,sample_type,PLANT_TISSUE,PLANT,,draft
cov111,organism,HUMAN,,Human,draft
cov111,sample_type,BODY_FLUID,AQUEOUS,,draft
cov139,organism,MAMMAL,,Mammal (non-human),draft
cov139,sample_type,GI_CONTENTS,GUT,,draft
cov146,organism,BIRD,,Bird,draft
cov146,sample_type,GI_TRACT,GUT,,draft
cov146,sample_type,ORGAN,PROTEIN,,draft
cov175,organism,CNIDARIAN,,Other invertebrate,draft
cov175,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov175,sample_type,SECTION,SECTION,,draft
cov181,organism,CRUSTACEAN,,Crustacean,draft
cov181,sample_type,GI_TRACT,GUT,,draft
cov181,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov181,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov181,sample_type,SECTION,SECTION,,draft
cov195,organism,HUMAN,,Human,draft
cov195,sample_type,BLOOD,BLOOD,,draft
cov213,organism,SPONGE,,Other invertebrate,reviewed
cov213,sample_type,TISSUE,PROTEIN,,reviewed
cov223,organism,BIVALVE,,Bivalve,draft
cov223,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov242,organism,FISH,,Fish,draft
cov242,sample_type,GI_CONTENTS,GUT,,draft
cov242,sample_type,GI_TRACT,GUT,,draft
cov261,organism,BIVALVE,,Bivalve,reviewed
cov261,organism,ANNELID,,Other invertebrate,reviewed
cov261,organism,ECHINODERM,,Other invertebrate,reviewed
cov261,organism,INVERT_MIXED,,Other invertebrate,reviewed
cov261,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov270,organism,CRUSTACEAN,,Crustacean,reviewed
cov270,organism,FISH,,Fish,reviewed
cov270,sample_type,GI_TRACT,GUT,,reviewed
cov270,sample_type,ORGAN,PROTEIN,,reviewed
cov270,sample_type,FECES,FECAL,,reviewed
cov284,organism,CNIDARIAN,,Other invertebrate,reviewed
cov284,sample_type,SKELETAL,MINERAL,,reviewed
cov284,sample_type,TISSUE,PROTEIN,,reviewed
cov292,organism,MAMMAL,,Mammal (non-human),draft
cov292,sample_type,GI_TRACT,GUT,,draft
cov292,sample_type,ORGAN,PROTEIN,,draft
cov292,sample_type,BLOOD,BLOOD,,draft
cov292,environment_sample,SEDIMENT,,,draft
cov302,organism,CRUSTACEAN,,Crustacean,draft
cov302,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov308,organism,REPTILE,,Other vertebrate,draft
cov308,sample_type,FECES,FECAL,,draft
cov355,organism,BIRD,,Bird,draft
cov355,sample_type,GI_CONTENTS,GUT,,draft
cov365,organism,HUMAN,,Human,draft
cov365,sample_type,BODY_FLUID,AQUEOUS,,draft
cov404,organism,HUMAN,,Human,draft
cov404,sample_type,BODY_FLUID,AQUEOUS,,draft
cov412,organism,GASTROPOD,,Other invertebrate,draft
