finding_id,study_id,polymer_code,polymer_parent,polymer_family,is_plastic,role,id_status,extraction_support,source
cov3-P01,cov3,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov3-P02,cov3,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov3-P03,cov3,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov3-P04,cov3,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov3-P05,cov3,PA66,PA,Polyamide,yes,field_detection,unverified,A,extraction
cov3-P06,cov3,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov5-P01,cov5,PE,,Polyolefin,yes,reported,unverified,A,extraction
cov5-P02,cov5,PP,,Polyolefin,yes,reported,unverified,A,extraction
cov5-P03,cov5,PET,PEST,Polyester,yes,reported,unverified,A,extraction
cov5-P04,cov5,PS,,Styrenic,yes,reported,unverified,A,extraction
cov5-P05,cov5,PVC,,Vinyl,yes,reported,unverified,A,extraction
cov5-P06,cov5,PA,,Polyamide,yes,reported,unverified,A,extraction
cov5-P07,cov5,PU,,Polyurethane,yes,reported,unverified,A,extraction
cov5-P08,cov5,PC,,Polycarbonate,yes,reported,unverified,A,extraction
cov5-P09,cov5,PMMA,ACR,Acrylic,yes,reported,unverified,A,extraction
cov5-P10,cov5,PA66,PA,Polyamide,yes,reported,unverified,B,extraction
cov5-P11,cov5,PA6,PA,Polyamide,yes,reported,unverified,B,extraction
cov5-P12,cov5,SBR,,Elastomer,yes,reported,unverified,A,extraction
cov5-P13,cov5,ABS,,Styrenic,yes,reported,unverified,A,extraction
cov5-P14,cov5,RAYON,,Semi-synthetic cellulose,semi,reported,unverified,A,extraction
cov8-P01,cov8,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov8-P02,cov8,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov8-P03,cov8,PET,PEST,Polyester,yes,field_detection,unverified,B,extraction
cov8-P04,cov8,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov8-P05,cov8,PA,,Polyamide,yes,field_detection,unverified,B,extraction
cov8-P06,cov8,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov8-P07,cov8,PMMA,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov8-P08,cov8,ACR,,Acrylic,yes,field_detection,unverified,A,extraction
cov8-P09,cov8,PE-CL,PE,Polyolefin,yes,field_detection,unverified,A,extraction
cov8-P10,cov8,EVA,,Polyolefin,yes,field_detection,unverified,B,extraction
cov8-P11,cov8,PB,,Elastomer,yes,field_detection,unverified,B,extraction
cov8-P12,cov8,EAA,,Polyolefin,yes,field_detection,unverified,B,extraction
cov8-P13,cov8,FKM,,Elastomer,yes,field_detection,unverified,B,extraction
cov8-P14,cov8,MBS,,Styrenic,yes,field_detection,unverified,B,extraction
cov8-P15,cov8,PIB,,Elastomer,yes,field_detection,unverified,B,extraction
cov8-P16,cov8,POM,,Polyacetal,yes,field_detection,unverified,B,extraction
cov8-P17,cov8,PA66,PA,Polyamide,yes,field_detection,unverified,A,extraction
cov8-P18,cov8,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov8-P19,cov8,PA66,PA,Polyamide,yes,recovery_spike,known_material,,extraction
cov8-P20,cov8,PVC,,Vinyl,yes,recovery_spike,known_material,,extraction
cov8-P21,cov8,PS,,Styrenic,yes,recovery_spike,known_material,,extraction
cov8-P22,cov8,PET,PEST,Polyester,yes,recovery_spike,known_material,,extraction
cov8-P23,cov8,PMMA,ACR,Acrylic,yes,recovery_spike,known_material,,extraction
cov8-P24,cov8,PC,,Polycarbonate,yes,recovery_spike,known_material,,extraction
cov8-P25,cov8,PA6,PA,Polyamide,yes,recovery_spike,known_material,,extraction
cov8-P26,cov8,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov11-P01,cov11,PE,,Polyolefin,yes,reported,unverified,A,extraction
cov11-P02,cov11,PP,,Polyolefin,yes,reported,unverified,A,extraction
