point_id,study_id,value_pct,endpoint,polymer_code,polymer_raw,matrix,size_lo_um,size_hi_um,shape,spike_mass,spike_count,sd,n,variability_metric,scope,physical,removal,separation,analysis,assignment_known
cov8-R01,cov8,93.9,mass,PA66,PA66,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R02,cov8,102.3,mass,PE,PE,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R03,cov8,109.4,mass,PVC,PVC,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R04,cov8,82.9,mass,PS,PS,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R05,cov8,107.8,mass,PET,PET,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R06,cov8,80.8,mass,PMMA,PMMA,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R07,cov8,91.5,mass,PC,PC,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R08,cov8,91.1,mass,PA6,PA6,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov8-R09,cov8,90.4,mass,PP,PP,human-thrombus,,,unknown,,,,3,SD,digestion_to_end,unreported,HNO3,filtration,pygcms,True
cov98-R01,cov98,90.08,mass,PS,PS,lettuce-shoot,0.05,0.05,unknown,,,,5,SD,digestion_to_end,unreported,TMAH,solvent_extraction,pygcms,True
cov98-R02,cov98,91.23,mass,PS,PS,lettuce-shoot,0.08,0.08,unknown,,,,5,SD,digestion_to_end,unreported,TMAH,solvent_extraction,pygcms,True
cov98-R03,cov98,91.98,mass,PS,PS,lettuce-root,0.05,0.05,unknown,,,,5,SD,digestion_to_end,unreported,TMAH,solvent_extraction,pygcms,True
cov98-R04,cov98,91.68,mass,PS,PS,lettuce-root,0.08,0.08,unknown,,,,5,SD,digestion_to_end,unreported,TMAH,solvent_extraction,pygcms,True
cov139-R01,cov139,77,count,,pooled,mixed-tissue-and-blank,100,300,unknown,,,,11,SD,digestion_to_end,none,trypsin,density_filtration,counting,True
cov139-R02,cov139,85,count,,pooled,mixed-tissue-and-blank,300,500,unknown,,,,11,SD,digestion_to_end,none,trypsin,density_filtration,counting,True
cov139-R03,cov139,92,count,,pooled,mixed-tissue-and-blank,500,1000,unknown,,,,11,SD,digestion_to_end,none,trypsin,density_filtration,counting,True
cov146-R01,cov146,62,mass,PMMA,PMMA,reagent-control,,,unknown,,,9,,SD,digestion_to_end,filter_grinding,KOH,filtration,pygcmsms,True
cov146-R02,cov146,65,mass,PP,PP,reagent-control,,,unknown,,,10,,SD,digestion_to_end,filter_grinding,KOH,filtration,pygcmsms,True
cov146-R03,cov146,110,mass,PE,PE,reagent-control,,,unknown,,,16,,SD,digestion_to_end,filter_grinding,KOH,filtration,pygcmsms,True
cov146-R04,cov146,76,mass,PS,PS,reagent-control,,,unknown,,,11,,SD,digestion_to_end,filter_grinding,KOH,filtration,pygcmsms,True
cov146-R05,cov146,76,mass,PET,PET,reagent-control,,,unknown,,,11,,SD,digestion_to_end,filter_grinding,KOH,filtration,pygcmsms,True
cov195-R01,cov195,57,mass,PE,PE,human-blood,,,unknown,"[10, 30]",,,4,SD,physical_to_end,thermal_denaturation,enzyme_oxidation,filtration,pygcms,True
cov195-R02,cov195,81,mass,PP,PP,human-blood,,,unknown,"[10, 30]",,,4,SD,physical_to_end,thermal_denaturation,enzyme_oxidation,filtration,pygcms,True
cov195-R03,cov195,14,mass,PMMA,PMMA,human-blood,,,unknown,"[10, 30]",,,4,SD,physical_to_end,thermal_denaturation,enzyme_oxidation,filtration,pygcms,True
cov195-R04,cov195,7,mass,PC,PC,human-blood,,,unknown,"[10, 30]",,,4,SD,physical_to_end,thermal_denaturation,enzyme_oxidation,filtration,pygcms,True
cov195-R05,cov195,109,mass,PA6,PA6,human-blood,,,unknown,"[10, 30]",,,4,SD,physical_to_end,thermal_denaturation,enzyme_oxidation,filtration,pygcms,True
cov195-R06,cov195,32,mass,PA66,PA66,human-blood,,,unknown,"[10, 30]",,,4,SD,physical_to_end,thermal_denaturation,enzyme_oxidation,filtration,pygcms,True
cov195-R07,cov195,52,mass,PS,PS,human-blood,0.75,0.75,sphere,"[5, 5]",,,,SD,physical_to_end,thermal_denaturation,enzyme_oxidation,filtration,pygcms,True
cov213-R01,cov213,99,mass,PS,PS,pure-polymer,,,unknown,,,1,5,SD,partial,none,not_covered,solvent_extraction,pygcms,True
cov213-R02,cov213,94,mass,PP,PP,pure-polymer,,,unknown,,,3,5,SD,partial,none,not_covered,solvent_extraction,pygcms,True
cov213-R03,cov213,93,mass,PE,PE,pure-polymer,,,unknown,,,4,5,SD,partial,none,not_covered,solvent_extraction,pygcms,True
cov213-R04,cov213,93,mass,PVC,PVC,pure-polymer,,,unknown,,,1,5,SD,partial,none,not_covered,solvent_extraction,pygcms,True
cov213-R05,cov213,94.7,mass,,pooled,sponge-digestate,50,250,unknown,"[25000, 25000]",,5.4,6,SD,partial,none,not_covered,solvent_extraction,pygcms,True
cov213-R06,cov213,94.1,mass,,pooled,sponge-digestate,,,unknown,"[25000, 25000]",,9.5,6,SD,partial,none,not_covered,solvent_extraction,pygcms,True
cov261-R01,cov261,107,mass,PMMA,PMMA,reagent-control,,,unknown,,,,,SD,digestion_to_end,unreported,KOH,filtration,pygcms,False
cov261-R02,cov261,82,mass,PP,PP,reagent-control,,,unknown,,,,,SD,digestion_to_end,unreported,KOH,filtration,pygcms,False
cov261-R03,cov261,111,mass,PE,PE,reagent-control,,,unknown,,,,,SD,digestion_to_end,unreported,KOH,filtration,pygcms,False
cov261-R04,cov261,129,mass,PET,PET,reagent-control,,,unknown,,,,,SD,digestion_to_end,unreported,KOH,filtration,pygcms,False
