span_id,study_id,span_type,lo,hi,unit,kind,label,open_end,basis,sd
cov3-M01,cov3,mass,52.62,225.23,µg/g,observed,Total in tissue (range),,unspecified,
cov5-S01,cov5,size,1,1,µm,operational,Fluorescence >1 µm,right,,
cov5-S02,cov5,size,20,20,µm,operational,ATR-FTIR detection limit,,,
cov5-M01,cov5,mass,6.5,685,µg/g,observed,Total in placenta,,wet,
cov8-S01,cov8,size,20,500,µm,observed,LDIR,,,
cov8-M01,cov8,mass,14.9,221.8,µg/g,observed,IS,,unspecified,
cov8-M02,cov8,mass,49.3,234.3,µg/g,observed,MI,,unspecified,
cov8-M03,cov8,mass,23.8,94.2,µg/g,observed,DVT PA66,,unspecified,
cov11-S01,cov11,size,1.21,261.7,µm,observed,Nile Red candidates,,,
cov11-S02,cov11,size,3.135,117.911,µm,observed,Raman-confirmed,,,
cov32-S01,cov32,size,2.0,6.0,µm,observed,Reported range,,,
cov42-S01,cov42,size,0.2,0.21,µm,reference,Reported range,,,
cov46-S01,cov46,size,10,10,µm,reference,Nominal diameter; CV 10%,,,
cov46-M01,cov46,mass,2.3,7.91,µg/individual,observed,No food (fasting),,unspecified,
cov46-M02,cov46,mass,2.3,3.68,µg/individual,observed,Chlorella odor,,unspecified,
cov46-M03,cov46,mass,0.0996,0.216,µg/individual,observed,Chlorella,,unspecified,
cov57-S01,cov57,size,50,300,µm,reference,Fish exposure material,,,
cov74-M01,cov74,mass,118.45,350.6,µg/g,observed,Total,,unspecified,
cov81-S01,cov81,size,2.22,48.74,µm,observed,Placenta,,,
cov81-S02,cov81,size,1.64,52.6,µm,observed,Umbilical cord,,,
cov82-S01,cov82,size,0.2,0.2,µm,reference,PS in mouse placenta model,,,
cov82-S02,cov82,size,0.1,0.1,µm,reference,PS standard,,,
cov82-M01,cov82,mass,2.04,2.04,µg/sample,summary,3.66 mg placental tissue piece,,unspecified,
cov98-S01,cov98,size,0.0272,0.0498,µm,reference,TEM; nominal 50 nm,,,
cov98-S02,cov98,size,0.062,0.0981,µm,reference,TEM; nominal 80 nm,,,
cov98-M01,cov98,mass,606.3,606.3,µg/g,summary,"Hydroponic root, low dose",,unspecified,
cov98-M02,cov98,mass,3406.3,3406.3,µg/g,summary,"Hydroponic root, high dose",,unspecified,
cov98-M03,cov98,mass,1.53,1.53,µg/g,summary,"Hydroponic shoot, low dose",,unspecified,
cov98-M04,cov98,mass,13.8,13.8,µg/g,summary,"Hydroponic shoot, high dose",,unspecified,
cov98-M05,cov98,mass,4.1,4.1,µg/g,summary,"Soil-grown root, low dose",,unspecified,
cov98-M06,cov98,mass,22.5,22.5,µg/g,summary,"Soil-grown root, high dose",,unspecified,
cov111-S01,cov111,size,0.94,5.73,µm,observed,Reported range,,,
cov139-S01,cov139,size,44,4361,µm,observed,Fragments,,,
cov139-S02,cov139,size,198,10032,µm,observed,Fibers,,,
cov146-S01,cov146,size,10,1000,µm,operational,Target size fractions,,,
cov146-M01,cov146,mass,1.2,6814.7,µg/g,observed,Total polymers,,dry,
cov175-S01,cov175,size,2.4,298.1,µm,reference,Starting materials; pooled polymer range,,,
cov181-S01,cov181,size,20,27,µm,reference,Model material,,,
cov181-S02,cov181,size,47,51,µm,reference,Model material,,,
cov195-S01,cov195,size,0.3,0.7,µm,operational,Filtration fraction,,,
cov195-S02,cov195,size,0.7,0.7,µm,operational,>0.7 fraction,right,,
cov213-S01,cov213,size,0.2,25,µm,operational,Py-GC/MS size fractions,,,
cov213-S02,cov213,size,57,278,µm,observed,µFTIR observations,,,
cov213-M01,cov213,mass,0.129,4.853,µg/g,observed,Total; converted ng/g → µg/g,,dry,
cov223-M01,cov223,mass,2,12,µg/g,observed,Approximate total,,dry,
cov242-S01,cov242,size,16.7,5000,µm,observed,Upper bound >5 mm; exact value unknown,right,,
cov261-S01,cov261,size,0.7,500,µm,operational,No individual-particle sizing,,,
cov261-M01,cov261,mass,105,7780,µg/g,observed,Total,,dry,
