study_id,label,year,doi,title,study_design,organisms,finder_groups,sample_types,matrix_characters,environment_samples,model_particles,physical_steps,removal_steps,separation_steps,techniques,digestion_temp_c_lo,digestion_temp_c_hi,digestion_time_h_lo,digestion_time_h_hi,filter_pore_um_lo,filter_pore_um_hi,filter_material,metric_basis,min_particle_size_um,min_particle_size_basis,nanoplastic_claimed,polymers_in_samples,polymers_in_samples_qualified,polymers_exposure,polymer_id_outcome,flags,n_recovery_points,dataset_version
cov3,Liu 2024,2024,10.1016/j.jhazmat.2024.133855,Microplastics in three types of human arteries detected by pyrolysis-gas chromatography/mass spectrometry (Py-GC/MS).,biomonitoring,HUMAN,Human,CARDIOVASCULAR,PROTEIN,,,NONE,ACID,NONE,PYGCMS,25.0,25.0,72.0,72.0,,,,mass,,,no,PE;PET;PVC;PA;PA66,,,identified,,0,2026-09-22
cov5,Garcia 2024,2024,10.1093/toxsci/kfae021,Quantitation and identification of microplastics accumulation in human placental specimens using pyrolysis gas chromatography mass spectrometry.,method_development,HUMAN,Human,REPRODUCTIVE,PROTEIN,,,NONE,ALKALI,,FLUOR;ATR_FTIR;PYGCMS,40.0,40.0,72.0,72.0,0.2,0.2,ALUMINA,count+mass,1.0,reported,no,,,,identified,MULTI_METHOD,0,2026-09-22
cov8,Wang 2024,2024,10.1016/j.ebiom.2024.105118,Multimodal detection and analysis of microplastics in human thrombi from multiple anatomically distinct sites.,biomonitoring,HUMAN,Human,CARDIOVASCULAR,PROTEIN,,,FREEZE_DRY,ACID,FILTRATION,LDIR;PYGCMS;SEM,12.0,110.0,3.0,48.0,13.0,500.0,STEEL,count+mass,20.0,reported,no,PE;PP;PET;PVC;PA;PU;PMMA;ACR;PE-CL;EVA;PB;EAA;FKM;MBS;PIB;POM;PA66,,,identified,MULTI_METHOD,9,2026-09-22
cov11,Tokito 2025,2025,10.1111/resp.70107,Microplastics in Human Bronchoalveolar Lavage Fluid.,method_development,HUMAN,Human,ORGAN;BODY_FLUID,PROTEIN;AQUEOUS,AIR,,RINSE,OXIDATION;ALKALI,FILTRATION,FLUOR;RAMAN,60.0,60.0,168.0,168.0,0.2,0.2,PTFE,count,1.21,reported,no,,,,identified,MULTI_METHOD;MULTI_REAGENT,0,2026-09-22
cov32,Montano 2023,2023,10.1016/j.scitotenv.2023.165922,Raman Microspectroscopy evidence of microplastics in human semen.,biomonitoring,HUMAN,Human,BODY_FLUID,AQUEOUS,,,NONE,ALKALI,FILTRATION,RAMAN,40.0,40.0,48.0,48.0,1.2,1.2,GLASS_FIBRE,count,2.0,reported,no,PE;PP;PET;PS;PVC;PC;POM;ACR,,,identified,,0,2026-09-22
cov42,Staufer 2025,2025,10.1038/s42003-025-08709-1,Biodistribution of nanoplastics in mice: advancing analytical techniques using metal-doped plastics.,method_development,MAMMAL,Mammal (non-human),GI_CONTENTS;GI_TRACT;ORGAN;BLOOD;BODY_FLUID;FECES,GUT;PROTEIN;BLOOD;AQUEOUS;FECAL,,,,ACID,,ICPMS,,,0.5,0.5,,,,count+mass,0.2,model_particle,yes,,,PS,exposure_only,MULTI_METHOD,0,2026-09-22
cov46,Nakano 2022,2022,10.1016/j.scitotenv.2022.152981,Pyrolysis-GC-MS analysis of ingested polystyrene microsphere content in individual Daphnia magna.,method_development,CRUSTACEAN,Crustacean,WHOLE_BODY,WHOLE_ORGANISM,,,RINSE,NONE,NONE,PYGCMS,,,,,,,,count+mass,10.0,reported,no,,,,identified,,0,2026-09-22
cov57,Xue 2024,2024,10.1016/j.saa.2024.124039,ELM combined with differential Raman spectroscopy for the detection of microplastics in organisms.,method_development,FISH,Fish,GI_TRACT;GILL,GUT;PROTEIN,,,HOMOGENIZE,ACID;OXIDATION,FILTRATION,FLUOR;RAMAN,40.0,40.0,0.5,24.0,,,,count,50.0,model_particle,no,,,PE-HD;PC,exposure_only,MULTI_METHOD;MULTI_REAGENT,0,2026-09-22
cov74,Wang 2025,2025,10.1016/j.ebiom.2025.105918,Microplastic abundance in placental chorionic villi detected by pyrolysis-gas chromatography/mass spectrometry in cases of spontaneous miscarriage during early pregnancy.,biomonitoring,HUMAN,Human,REPRODUCTIVE,PROTEIN,,,HOMOGENIZE;RINSE,NONE,,PYGCMS,,,,,,,,mass,,,no,PE;PP;PS;PVC,,,identified,,0,2026-09-22
cov81,Oliveira 2025,2025,10.1590/0001-3765202520241298,First evidence of microplastic accumulation in placentas and umbilical cords from pregnancies in Brazil.,biomonitoring,HUMAN,Human,REPRODUCTIVE,PROTEIN,,,HOMOGENIZE;RINSE,ALKALI,FILTRATION,RAMAN,RT,RT,168.0,168.0,1.6,1.6,GLASS_FIBRE,count,1.64,reported,no,PE;PP;PS;PVC;PA;PU;PC;PMMA;EVA;PEST;PSU;PVME;PVP;EPM,,,identified,,0,2026-09-22
